style,n,legacy_recall,current_recall,delta_recall,legacy_mean_emo_sim,current_mean_emo_sim,delta_mean_emo_sim,legacy_mean_novelty_gain,current_mean_novelty_gain,delta_mean_novelty_gain,legacy_mean_wer,current_mean_wer,delta_mean_wer,legacy_mean_mos_delta,current_mean_mos_delta,delta_mean_mos_delta,legacy_content_collapse_count,current_content_collapse_count,delta_content_collapse_count
anger,11,0.2727272727272727,0.09090909090909091,-0.1818181818181818,0.9304181818181818,0.9435818181818182,0.013163636363636377,0.15062727272727272,0.29615454545454545,0.14552727272727273,0.15941818181818182,0.17402727272727272,0.014609090909090905,-0.2519181818181818,-0.053218181818181824,0.1987,0,0,0
confused,11,,,,0.9481454545454546,0.9627818181818182,0.014636363636363559,0.5589181818181819,0.27643636363636365,-0.2824818181818182,0.3584454545454545,0.21515454545454543,-0.14329090909090908,-0.29715454545454545,-0.4155909090909091,-0.11843636363636367,2,0,-2
disgust,11,0.09090909090909091,0.18181818181818182,0.09090909090909091,0.963109090909091,0.9805636363636364,0.01745454545454539,0.12555454545454545,0.2296181818181818,0.10406363636363636,0.18539090909090908,0.15292727272727272,-0.03246363636363636,-0.02720909090909091,-0.2315090909090909,-0.20429999999999998,0,0,0
enunciated,11,,,,0.9577727272727273,0.9864636363636364,0.0286909090909091,0.4495363636363636,0.1685909090909091,-0.2809454545454545,0.3976272727272727,0.1542181818181818,-0.2434090909090909,-0.017863636363636363,-0.5339272727272727,-0.5160636363636363,1,0,-1
fear,11,0.0,0.2727272727272727,0.2727272727272727,0.9492909090909091,0.8960818181818181,-0.053209090909090984,0.10275454545454546,0.34845454545454546,0.2457,0.17402727272727272,0.30714545454545455,0.13311818181818183,0.021836363636363636,-0.3902545454545454,-0.41209090909090906,0,0,0
happy,11,0.0,0.45454545454545453,0.45454545454545453,0.9715636363636364,0.9075,-0.06406363636363643,0.07953636363636364,0.1687090909090909,0.08917272727272725,0.11526363636363636,0.39805454545454544,0.2827909090909091,-0.031290909090909085,-0.0026090909090909086,0.028681818181818176,0,2,2
neutral,11,0.8181818181818182,0.9090909090909091,0.09090909090909083,0.9844272727272727,0.9761727272727273,-0.008254545454545403,0.09947272727272728,0.23513636363636364,0.13566363636363638,0.12013636363636362,0.12694545454545456,0.006809090909090931,-0.004836363636363637,-0.14716363636363636,-0.14232727272727272,0,0,0
sad,11,0.36363636363636365,0.9090909090909091,0.5454545454545454,0.9560545454545455,0.9431727272727273,-0.012881818181818216,0.11631818181818182,0.08774545454545454,-0.028572727272727277,0.15941818181818182,0.2954636363636364,0.13604545454545455,-0.0028,-0.03178181818181818,-0.02898181818181818,0,0,0
whisper,11,,,,0.8984818181818182,0.7947727272727273,-0.10370909090909086,0.6560909090909092,0.6429636363636363,-0.013127272727272876,0.4478363636363636,0.2888636363636364,-0.1589727272727272,-0.10128181818181817,-0.06684545454545454,0.034436363636363626,3,0,-3
