source_stem,style,reference_tag,candidate_tag,reference_audio,candidate_audio,prefer_reference_or_candidate,reference_target_match_1_5,candidate_target_match_1_5,reference_intelligibility_1_5,candidate_intelligibility_1_5,reference_naturalness_1_5,candidate_naturalness_1_5,reference_identity_shift_1_5,candidate_identity_shift_1_5,notes
cremad_1006,anger,mixed_teacher_cvrare_hybrid_style_distill_labeled_warmup_sad_enunc_guard,mixed_teacher_cvrare_strength_grid_anger_s10,/Users/steve/UVM-plaid/dp-vc/output/mixed_teacher_cvrare_hybrid_style_distill_labeled_warmup_sad_enunc_guard_eval/cremad_1006_anger.wav,/Users/steve/UVM-plaid/dp-vc/output/mixed_teacher_cvrare_strength_grid/mixed_teacher_cvrare_strength_grid_anger_s10/cremad_1006_anger.wav,tie,,,,,,,,,Joe: reference and candidate sound identical; no perceptual candidate advantage.
male_1_cremad_1003,fear,mixed_teacher_cvrare_hybrid_style_distill_labeled_warmup_sad_enunc_guard,mixed_teacher_cvrare_strength_grid_fear_s7p5,/Users/steve/UVM-plaid/dp-vc/output/mixed_teacher_cvrare_hybrid_style_distill_labeled_warmup_sad_enunc_guard_eval/male_1_cremad_1003_fear.wav,/Users/steve/UVM-plaid/dp-vc/output/mixed_teacher_cvrare_strength_grid/mixed_teacher_cvrare_strength_grid_fear_s7p5/male_1_cremad_1003_fear.wav,reference,,,,,,,,,Joe: reference preferred; candidate had an unnatural pitch change; difference was small.
female_1_cremad_1002,anger,mixed_teacher_cvrare_hybrid_style_distill_labeled_warmup_sad_enunc_guard,mixed_teacher_cvrare_strength_grid_anger_s10,/Users/steve/UVM-plaid/dp-vc/output/mixed_teacher_cvrare_hybrid_style_distill_labeled_warmup_sad_enunc_guard_eval/female_1_cremad_1002_anger.wav,/Users/steve/UVM-plaid/dp-vc/output/mixed_teacher_cvrare_strength_grid/mixed_teacher_cvrare_strength_grid_anger_s10/female_1_cremad_1002_anger.wav,tie,,,,,,,,,Joe: reference and candidate sound identical; no perceptual candidate advantage.
cremad_1003,fear,mixed_teacher_cvrare_hybrid_style_distill_labeled_warmup_sad_enunc_guard,mixed_teacher_cvrare_strength_grid_fear_s7p5,/Users/steve/UVM-plaid/dp-vc/output/mixed_teacher_cvrare_hybrid_style_distill_labeled_warmup_sad_enunc_guard_eval/cremad_1003_fear.wav,/Users/steve/UVM-plaid/dp-vc/output/mixed_teacher_cvrare_strength_grid/mixed_teacher_cvrare_strength_grid_fear_s7p5/cremad_1003_fear.wav,tie,,,,,,,,,Joe: reference and candidate sound identical; no perceptual candidate advantage.
female_1_cremad_1002,fear,mixed_teacher_cvrare_hybrid_style_distill_labeled_warmup_sad_enunc_guard,mixed_teacher_cvrare_strength_grid_fear_s7p5,/Users/steve/UVM-plaid/dp-vc/output/mixed_teacher_cvrare_hybrid_style_distill_labeled_warmup_sad_enunc_guard_eval/female_1_cremad_1002_fear.wav,/Users/steve/UVM-plaid/dp-vc/output/mixed_teacher_cvrare_strength_grid/mixed_teacher_cvrare_strength_grid_fear_s7p5/female_1_cremad_1002_fear.wav,tie,,,,,,,,,Joe: reference and candidate sound identical; no perceptual candidate advantage.
